framework,n,threads,mean,std,count,speedup,efficiency
OpenMP,500,1,0.1149482,0.002638913071702,5,1.0559069215524906,1.0559069215524906
OpenMP,500,2,0.0579144,0.0050588355542555,5,2.0957585678173305,1.0478792839086652
OpenMP,500,4,0.02966234,0.0019850397157235,5,4.091875421831184,1.022968855457796
OpenMP,500,6,0.0204105,0.0007097180390831,5,5.946674505769089,0.9911124176281815
OpenMP,500,12,0.01224086,0.0008201517682721,5,9.915528810884203,0.8262940675736835
OpenMP,1000,1,1.279524,0.1354998231733164,5,0.9631019035203716,0.9631019035203716
OpenMP,1000,2,0.7058452,0.0468373586968778,5,1.7458672241448978,0.8729336120724489
OpenMP,1000,4,0.4159004,0.1047411922659848,5,2.962997871605798,0.7407494679014495
OpenMP,1000,6,0.3818622,0.0581889755254378,5,3.227111769638367,0.5378519616063945
OpenMP,1000,12,0.4489164,0.0206010406727426,5,2.7450812668015696,0.22875677223346413
OpenMP,2000,1,28.59738,1.029720921900687,5,0.9947792420144782,0.9947792420144782
OpenMP,2000,2,16.2631,1.9802046611398532,5,1.749240919627869,0.8746204598139345
OpenMP,2000,4,10.329104,0.65611714432714,5,2.7541672540038324,0.6885418135009581
OpenMP,2000,6,8.489282,0.0765284317753869,5,3.3510584287340204,0.5585097381223367
OpenMP,2000,12,8.708614,0.2260875202880512,5,3.266659884110146,0.27222165700917883
sequential,500,1,0.1213746,0.0119971465690805,5,1.0,1.0
sequential,1000,1,1.232312,0.0492757239419168,5,1.0,1.0
sequential,2000,1,28.44808,1.6308549175202558,5,1.0,1.0
